"","Ticker","Name","IPOyear","CEO","MarketCap","Type","Industry"
"1","CVX","Chevron Corporation","1970","John S. Watson","179351805535.8","Energy","Integrated oil Companies"
"2","GE","General Electric Company","1962","Jeffrey R. Immelt","286542951104.3","Energy","Consumer Electronics/Appliances"
"3","PTR","PetroChina Company Limited","2000","Dongjin Wang","116877196423.08","Energy","Oil & Gas Production"
"4","TOT","TotalFinaElf, S.A.","1991","Patrick Pouyanné","111266639464.8","Energy","Oil & Gas Production"
"5","XOM","Exxon Mobil Corporation","1970","Rex W. Tillerson","346007680661.88","Energy","Integrated oil Companies"
"6","BAC","Bank of America Corporation","1986","Brian T. Moynihan","133923434290.49","Finance","Major Banks"
"7","C","Citigroup Inc.","1977","Francisco A. Aristeguieta","121226700691.36","Finance","Major Banks"
"8","HSBC","HSBC Holdings plc","2000","Stuart Gulliver","117559398865.96","Finance","Savings Institutions"
"9","JPM","J P Morgan Chase & Co","1983","James Dimon","213609417005.4","Finance","Major Banks"
"10","WFC","Wells Fargo & Company","2013","John G. Stumpf","238757784030.91","Finance","Major Banks"
"11","AAPL","Apple Inc.","1980","Tim Cook","604000000000","Technology","Computer Manufacturing"
"12","FB","Facebook, Inc.","2012","Mark Zuckerberg","310216109079.24","Technology","Computer Software: Programming, Data Processing"
"13","GOOG","Alphabet Inc.","2004","Larry Page","506672180488.7","Technology","Computer Software: Programming, Data Processing"
"14","GOOGL","Alphabet Inc.","2004","Larry Page","521429756293.18","Technology","Computer Software: Programming, Data Processing"
"15","MSFT","Microsoft Corporation","1986","Satya Nadella","429554233655.94","Technology","Computer Software: Prepackaged Software"
