"","date2","sel_tickers","am"
"1","2015-01-05"," PTR",332.5785
"2","2015-01-05"," FB",327.979633333333
"3","2015-01-05"," MSFT",330.268066666667
"4","2015-01-06"," CVX",330.12261459996
"5","2015-01-06"," XOM",328.51958991852
"6","2015-01-06"," AAPL",330.30647891514
"7","2015-01-07"," TOT",334.28377467511
"8","2015-01-07"," PTR",342.824599224892
"9","2015-01-07"," AAPL",334.271973220821
"10","2015-01-08"," TOT",346.194953416606
"11","2015-01-08"," MSFT",347.044411770152
"12","2015-01-08"," AAPL",350.079968744001
"13","2015-01-09"," XOM",347.28289033255
"14","2015-01-09"," AAPL",348.146097972133
"15","2015-01-09"," HSBC",345.951545307832
"16","2015-01-12"," TOT",345.770897657373
"17","2015-01-12"," GE",346.404542999392
"18","2015-01-12"," HSBC",347.431448343587
"19","2015-01-13"," PTR",356.105176426469
"20","2015-01-13"," GOOGL",349.840228084849
"21","2015-01-13"," AAPL",349.612415561906
"22","2015-01-14"," TOT",353.012875846899
"23","2015-01-14"," GOOG",355.17838790004
"24","2015-01-14"," GOOGL",354.748494385185
"25","2015-01-15"," TOT",356.278415735543
"26","2015-01-15"," GOOG",354.964055293287
"27","2015-01-15"," HSBC",354.469859168406
"28","2015-01-16"," TOT",369.461434822733
"29","2015-01-16"," CVX",363.714438987167
"30","2015-01-16"," XOM",363.862821667274
"31","2015-01-20"," CVX",370.375768406657
"32","2015-01-20"," FB",370.835464188018
"33","2015-01-20"," AAPL",375.098446854773
"34","2015-01-21"," TOT",382.244081293849
"35","2015-01-21"," GOOG",380.280864670924
"36","2015-01-21"," GOOGL",379.728589062178
"37","2015-01-22"," GOOGL",393.123611732315
"38","2015-01-22"," C",395.346360961242
"39","2015-01-22"," BAC",397.552661739264
"40","2015-01-23"," GE",398.597380025724
"41","2015-01-23"," GOOG",399.454162776838
"42","2015-01-23"," GOOGL",398.762316240085
"43","2015-01-26"," TOT",410.701236965769
"44","2015-01-26"," CVX",406.517215608351
"45","2015-01-26"," HSBC",403.026987245021
"46","2015-01-27"," TOT",409.680241633423
"47","2015-01-27"," CVX",404.432332070393
"48","2015-01-27"," HSBC",403.825341313779
"49","2015-01-28"," FB",408.443680583112
"50","2015-01-28"," AAPL",428.930492457831
"51","2015-01-28"," HSBC",402.00334668229
"52","2015-01-29"," TOT",422.112153177417
"53","2015-01-29"," FB",422.662849922014
"54","2015-01-29"," AAPL",425.987893244512
"55","2015-01-30"," XOM",422.813779869538
"56","2015-01-30"," GOOG",443.37929827881
"57","2015-01-30"," GOOGL",443.659840367559
"58","2015-02-02"," TOT",455.689447293005
"59","2015-02-02"," CVX",451.649904554066
"60","2015-02-02"," XOM",447.405762789255
"61","2015-02-03"," TOT",465.861621550452
"62","2015-02-03"," PTR",465.30423425212
"63","2015-02-03"," CVX",466.356238991806
"64","2015-02-04"," FB",467.26165214671
"65","2015-02-04"," MSFT",468.528273005292
"66","2015-02-04"," AAPL",469.413510084204
"67","2015-02-05"," TOT",474.811683150283
"68","2015-02-05"," GE",474.992860713199
"69","2015-02-05"," MSFT",475.230152733296
"70","2015-02-06"," BAC",490.478464618712
"71","2015-02-06"," JPM",484.382926205176
"72","2015-02-06","WFC",481.913483579443
"73","2015-02-09"," PTR",490.448415114046
"74","2015-02-09"," CVX",489.22438430541
"75","2015-02-09"," AAPL",488.817215728014
"76","2015-02-10"," GOOG",497.945041621968
"77","2015-02-10"," GOOGL",499.558814249281
"78","2015-02-10"," AAPL",498.900637024492
"79","2015-02-11"," FB",507.558207323591
"80","2015-02-11"," AAPL",510.492806174609
"81","2015-02-11"," C",501.730310385559
"82","2015-02-12"," TOT",517.804948157323
"83","2015-02-12"," C",518.93232194338
"84","2015-02-12"," JPM",517.008582743608
"85","2015-02-13"," CVX",526.885110881435
"86","2015-02-13"," MSFT",527.290379591386
"87","2015-02-13"," GOOG",523.715158592462
"88","2015-02-17"," PTR",535.843880162035
"89","2015-02-17"," C",530.997178648011
"90","2015-02-17"," JPM",529.753800816548
"91","2015-02-18"," PTR",540.142250705927
"92","2015-02-18"," FB",540.012341104182
"93","2015-02-18"," HSBC",536.915106735993
"94","2015-02-19"," FB",558.065737814133
"95","2015-02-19"," GOOG",542.189239709161
"96","2015-02-19"," GOOGL",542.797796939047
"97","2015-02-20"," TOT",555.244327348396
"98","2015-02-20"," C",554.75530007429
"99","2015-02-20"," BAC",553.428042043079
"100","2015-02-23"," MSFT",558.142084405424
"101","2015-02-23"," AAPL",569.461709696139
"102","2015-02-23","WFC",557.203911199845
"103","2015-02-24"," TOT",574.713124233633
"104","2015-02-24"," C",567.949632181471
"105","2015-02-24"," JPM",575.512565489799
"106","2015-02-25"," GE",584.454803861725
"107","2015-02-25"," GOOG",581.036780421349
"108","2015-02-25"," GOOGL",581.954171498225
"109","2015-02-26"," GOOG",594.916160109988
"110","2015-02-26"," GOOGL",595.210022237918
"111","2015-02-26"," AAPL",589.853984500065
"112","2015-02-27"," TOT",600.606129172998
"113","2015-02-27"," PTR",598.884829018984
"114","2015-02-27"," GOOGL",596.870010135457
"115","2015-03-02"," GOOG",612.662919863626
"116","2015-03-02"," GOOGL",611.973237009186
"117","2015-03-02"," C",611.009489349679
"118","2015-03-03"," TOT",614.660560077039
"119","2015-03-03"," GOOGL",615.893502069418
"120","2015-03-03"," C",614.627273702654
"121","2015-03-04"," CVX",615.060445283037
"122","2015-03-04"," FB",625.105427957266
"123","2015-03-04"," JPM",616.648469846713
"124","2015-03-05"," GE",622.797441080634
"125","2015-03-05"," GOOGL",622.255746442944
