"","date2","sel_tickers","am"
"1","2015-01-05"," FB",329.9564
"2","2015-01-05"," MSFT",333.0458
"3","2015-01-05"," HSBC",331.387833333333
"4","2015-01-06"," CVX",331.954970876924
"5","2015-01-06"," AAPL",330.59222562891
"6","2015-01-06"," HSBC",330.588016044436
"7","2015-01-07"," PTR",335.522289910802
"8","2015-01-07"," MSFT",332.844996004809
"9","2015-01-07"," AAPL",332.743530690593
"10","2015-01-08"," FB",339.965453582192
"11","2015-01-08"," MSFT",339.699558549301
"12","2015-01-08"," AAPL",341.830022478121
"13","2015-01-09"," XOM",339.760519006373
"14","2015-01-09"," AAPL",338.503773665292
"15","2015-01-09"," HSBC",340.947155738244
"16","2015-01-12"," TOT",339.107242821137
"17","2015-01-12"," GE",338.466838294386
"18","2015-01-12"," HSBC",339.068240996378
"19","2015-01-13"," PTR",337.665005372364
"20","2015-01-13"," GOOG",337.073726197824
"21","2015-01-13"," GOOGL",338.361540915321
"22","2015-01-14"," XOM",340.699340415187
"23","2015-01-14"," GOOG",341.946534390635
"24","2015-01-14"," GOOGL",341.418405218589
"25","2015-01-15"," TOT",343.248050049046
"26","2015-01-15"," PTR",339.697277835442
"27","2015-01-15"," HSBC",342.64173572432
"28","2015-01-16"," TOT",351.245450581226
"29","2015-01-16"," CVX",350.703325259402
"30","2015-01-16"," XOM",350.084246721573
"31","2015-01-20"," CVX",357.083538329549
"32","2015-01-20"," FB",353.085918047115
"33","2015-01-20"," AAPL",353.539309212072
"34","2015-01-21"," TOT",361.785682424456
"35","2015-01-21"," GOOG",362.111850988944
"36","2015-01-21"," GOOGL",361.198160616263
"37","2015-01-22"," GOOGL",371.588199171654
"38","2015-01-22"," C",371.51676370513
"39","2015-01-22"," BAC",374.259162222508
"40","2015-01-23"," GOOG",375.486713165358
"41","2015-01-23"," GOOGL",375.168338880647
"42","2015-01-23"," AAPL",374.709996116531
"43","2015-01-26"," TOT",381.048455259161
"44","2015-01-26"," CVX",380.929354124898
"45","2015-01-26"," XOM",379.882652093602
"46","2015-01-27"," TOT",385.33710326822
"47","2015-01-27"," C",382.759353276434
"48","2015-01-27"," BAC",382.578330331275
"49","2015-01-28"," PTR",376.030049210493
"50","2015-01-28"," FB",380.266335150029
"51","2015-01-28"," HSBC",380.044600118598
"52","2015-01-29"," FB",384.448472746354
"53","2015-01-29"," MSFT",388.775015288693
"54","2015-01-29"," AAPL",387.181751594355
