Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;Industry;Summary Quote
VNET;21Vianet Group, Inc.;20.785;1140294947.26;54861436;2011;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/vnet
TWOU;2U, Inc.;23.51;1080589048.54;n/a;2014;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/twou
DDD;3D Systems Corporation;16.49;1840741564.52;n/a;n/a;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/ddd
JOBS;51job, Inc.;30.38;755274810.36;24860922;2004;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/jobs
WUBA;58.com Inc.;57.05;8074533982.9;n/a;2013;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/wuba
ATEN;A10 Networks, Inc.;maj.79;372343007.34;n/a;2014;Technology;Computer Communications Equipment;http://www.nasdaq.com/symbol/aten
AAN;Aaron&#39;;;;;;;
ACIW;ACI Worldwide, Inc.;19.47;2318368307.31;n/a;n/a;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/aciw
ACTS;Actions Semiconductor Co., Ltd.;jan.45;33495907.7;23100626;2005;Technology;Semiconductors;http://www.nasdaq.com/symbol/acts
ATVI;Activision Blizzard, Inc;33.41;24556287022.15;n/a;n/a;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/atvi
ACTA;Actua Corporation;sep.39;377990778.51;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/acta
ATU;Actuant Corporation;24.maj;1443183549.5;n/a;n/a;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/atu
ACXM;Acxiom Corporation;21.apr;1663296660.2;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/acxm
IOTS;Adesto Technologies Corporation;maj.54;83100000;n/a;2015;Technology;Semiconductors;http://www.nasdaq.com/symbol/iots
ADBE;Adobe Systems Incorporated;92.95;46494477393.65;n/a;1986;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/adbe
AMD;Advanced Micro Devices, Inc.;feb.76;2189365004.4;n/a;n/a;Technology;Semiconductors;http://www.nasdaq.com/symbol/amd
ASX;Advanced Semiconductor Engineering, Inc.;maj.61;8703405606.39;n/a;n/a;Technology;Semiconductors;http://www.nasdaq.com/symbol/asx
ATE;Advantest Corporation (Kabushiki Kaisha Advantest) ADS;avg.95;1562427043.3;n/a;n/a;Technology;Semiconductors;http://www.nasdaq.com/symbol/ate
AER;Aercap Holdings N.V.;38.21;7655075614.84;n/a;2006;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/aer
ACY;AeroCentury Corp.;111.505;174.694.771.995;n/a;n/a;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/acy
HIVE;Aerohive Networks, Inc.;maj.79;283843945.86;n/a;2014;Technology;EDP Services;http://www.nasdaq.com/symbol/hive
WGA;AG&E Holdings, Inc.;0.34;3960660;n/a;n/a;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/wga
AGYS;Agilysys, Inc.;okt.13;232727187.28;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/agys
AL;Air Lease Corporation;31.14;3194424312.66;n/a;2011;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/al
AYR;Aircastle Limited;21.33;1675789338.33;n/a;2006;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/ayr
