"","WFC.Open","WFC.High","WFC.Low","WFC.Close","WFC.Volume","WFC.Adjusted","id"
"2015-01-02",55.110001,55.189999,54.189999,54.700001,11700900,52.449237,1
"2015-01-05",54.139999,54.360001,53.099998,53.200001,15000500,51.010958,2
"2015-01-06",53.349998,53.470001,51.849998,52.09,20211200,49.946632,3
"2015-01-07",52.630001,52.639999,52.110001,52.400002,15714700,50.243877,4
"2015-01-08",53,53.59,52.959999,53.560001,16721600,51.356146,5
"2015-01-09",53.540001,53.59,52.669998,52.68,14550800,50.512355,6
"2015-01-12",52.580002,52.689999,51.709999,52.049999,16967500,49.908277,7
"2015-01-13",52.299999,52.529999,51.25,51.849998,25080900,49.716505,8
"2015-01-14",51,51.73,50.419998,51.25,37590100,49.141195,9
"2015-01-15",51.25,51.540001,50.459999,50.720001,32144700,48.633004,10
"2015-01-16",50.529999,51.700001,50.509998,51.639999,23174900,49.515147,11
"2015-01-20",51.98,52.299999,51.700001,52,17691000,49.860335,12
"2015-01-21",51.990002,52.700001,51.709999,52.099998,17928300,49.956218,13
"2015-01-22",52.490002,53.82,52.48,53.77,21488700,51.557504,14
"2015-01-23",53.73,53.98,53.240002,53.259998,17779700,51.068487,15
"2015-01-26",52.91,53.599998,52.889999,53.580002,13429400,51.375323,16
"2015-01-27",52.93,53.34,52.57,52.970001,14351600,50.790423,17
"2015-01-28",53.310001,53.360001,52.150002,52.16,18775100,50.013751,18
"2015-01-29",52.240002,52.900002,51.900002,52.759998,16700000,50.589061,19
"2015-01-30",52.200001,52.77,51.900002,51.919998,21754800,49.783625,20
"2015-02-02",52.189999,52.91,51.990002,52.810001,17714500,50.637007,21
"2015-02-03",53.009998,53.529999,52.970001,53.450001,20258900,51.250672,22
"2015-02-04",53.029999,53.5,52.900002,53.029999,14435600,51.183108,23
"2015-02-05",53.240002,53.84,53.220001,53.669998,13281900,51.800817,24
"2015-02-06",54.119999,55.080002,53.830002,54.450001,19056900,52.553655,25
"2015-02-09",54.27,54.450001,54.080002,54.209999,9739200,52.322012,26
"2015-02-10",54.619999,54.709999,54.220001,54.57,12342500,52.669474,27
"2015-02-11",54.060001,54.259998,53.66,53.900002,18296800,52.02281,28
"2015-02-12",54.189999,54.900002,53.970001,54.860001,20159500,52.949375,29
"2015-02-13",54.98,55.560001,54.810001,55.330002,18809000,53.403008,30
"2015-02-17",55.310001,55.459999,54.950001,55.369999,11908600,53.441612,31
"2015-02-18",55.09,55.200001,54.400002,54.52,13231600,52.621216,32
"2015-02-19",54.41,54.82,54.130001,54.560001,10784600,52.659824,33
"2015-02-20",54.41,54.939999,54.029999,54.830002,15049100,52.920421,34
"2015-02-23",54.68,55.110001,54.27,55.099998,13715000,53.181015,35
"2015-02-24",55.189999,55.540001,55.02,55.369999,11957800,53.441612,36
"2015-02-25",55.389999,55.580002,55.240002,55.330002,10516900,53.403008,37
"2015-02-26",55.220001,55.349998,54.959999,55.150002,13579100,53.229276,38
"2015-02-27",54.82,55.279999,54.790001,54.790001,12937000,52.881814,39
"2015-03-02",54.790001,55.560001,54.720001,55.549999,12988500,53.615343,40
"2015-03-03",55.450001,55.580002,55.139999,55.450001,11759600,53.518827,41
"2015-03-04",55.169998,55.200001,54.669998,54.82,16653300,52.910768,42
"2015-03-05",54.939999,55.009998,54.650002,54.84,9576100,52.930071,43
"2015-03-06",54.98,55.490002,54.509998,54.59,17298400,52.688778,44
"2015-03-09",54.779999,55.009998,54.630001,54.669998,11937900,52.76599,45
"2015-03-10",54.16,54.169998,53.290001,53.290001,18723200,51.434054,46
"2015-03-11",53.869999,53.990002,53.599998,53.700001,16612900,51.829775,47
"2015-03-12",54.52,55.639999,54.200001,55.59,26266900,53.653951,48
"2015-03-13",55.490002,55.650002,55.02,55.34,17591400,53.412658,49
"2015-03-16",55.5,55.82,55.330002,55.73,15505200,53.789075,50
"2015-03-17",55.5,55.98,55.259998,55.91,13107700,53.962806,51
"2015-03-18",55.68,56.279999,55.490002,56.169998,20000500,54.213749,52
"2015-03-19",55.950001,55.98,55.240002,55.509998,14841100,53.576735,53
"2015-03-20",55.529999,56.209999,55.52,56.009998,26487200,54.059322,54
"2015-03-23",56.029999,56.290001,55.73,55.779999,16477400,53.837332,55
"2015-03-24",55.700001,55.869999,55.349998,55.349998,13927400,53.422308,56
"2015-03-25",55.259998,55.360001,54.540001,54.540001,15413700,52.64052,57
"2015-03-26",54.349998,54.75,53.970001,54.5,15038600,52.601913,58
"2015-03-27",54.540001,54.599998,53.959999,54.119999,13600300,52.235146,59
"2015-03-30",54.389999,55.02,54.389999,54.77,11706700,52.86251,60
"2015-03-31",54.470001,54.689999,54.189999,54.400002,13306200,52.505397,61
"2015-04-01",54.419998,54.419998,53.779999,53.939999,15436900,52.061415,62
"2015-04-02",53.950001,54.48,53.82,54.369999,13498900,52.476439,63
"2015-04-06",53.82,54.369999,53.560001,54.080002,10786100,52.196542,64
"2015-04-07",54.279999,54.389999,53.98,54.02,10853700,52.13863,65
"2015-04-08",53.98,54.360001,53.830002,54,9828700,52.119326,66
"2015-04-09",54.060001,54.290001,53.73,54.189999,10279400,52.302708,67
"2015-04-10",54.330002,54.48,54.060001,54.32,9531500,52.428181,68
"2015-04-13",54.330002,54.73,54.279999,54.59,14931600,52.688778,69
"2015-04-14",53.93,54.470001,53.57,54.189999,29289600,52.302708,70
"2015-04-15",54.369999,54.91,54.189999,54.810001,16899900,52.901117,71
"2015-04-16",54.529999,55.07,54.34,54.810001,15643200,52.901117,72
"2015-04-17",54.41,54.560001,53.98,54.049999,17569700,52.167584,73
"2015-04-20",54.34,54.669998,54.169998,54.360001,13327200,52.466789,74
"2015-04-21",54.549999,54.849998,54.189999,54.279999,10954200,52.389573,75
"2015-04-22",54.310001,54.91,54.16,54.669998,13563800,52.76599,76
"2015-04-23",54.41,55.119999,54.41,54.860001,14657800,52.949375,77
"2015-04-24",54.759998,54.919998,54.610001,54.700001,15268100,52.794948,78
"2015-04-27",54.790001,55.5,54.709999,54.970001,19852400,53.055545,79
"2015-04-28",54.91,55.43,54.869999,55.41,13028300,53.48022,80
