Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;Industry;Summary Quote
AXAS;Abraxas Petroleum Corporation;0.98;104219080.98;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/axas
AE;Adams Resources & Energy, Inc.;36.36;153351790.56;n/a;n/a;Energy;Oil Refining/Marketing;http://www.nasdaq.com/symbol/ae
AAV;Advantage Oil & Gas Ltd;maj.31;979170037.47;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/aav
ANW;Aegean Marine Petroleum Network Inc.;jul.29;351898163.37;n/a;2006;Energy;Oil Refining/Marketing;http://www.nasdaq.com/symbol/anw
AHGP;Alliance Holdings GP, L.P.;15.28;914706640;n/a;2006;Energy;Coal Mining;http://www.nasdaq.com/symbol/ahgp
ARLP;Alliance Resource Partners, L.P.;dec.22;908862805.5;n/a;1999;Energy;Coal Mining;http://www.nasdaq.com/symbol/arlp
ALJ;Alon USA Energy, Inc.;okt.18;723561905.44;n/a;2005;Energy;Integrated oil Companies;http://www.nasdaq.com/symbol/alj
ALDW;Alon USA Partners, LP;nov.65;728241954.35;n/a;2012;Energy;Integrated oil Companies;http://www.nasdaq.com/symbol/aldw
AETI;American Electric Technologies, Inc.;2.mar;16799384.77;n/a;n/a;Energy;Industrial Machinery/Components;http://www.nasdaq.com/symbol/aeti
AEUA;Anadarko Petroleum Corporation;33.151;0;n/a;2015;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/aeua
APC;Anadarko Petroleum Corporation;47.53;24166088891.91;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/apc
AR;Antero Resources Corporation;25.53;7073375908.08;n/a;2013;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/ar
APA;Apache Corporation;49.95;18895974310.8;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/apa
AREX;Approach Resources Inc.;jan.61;65756888.68;n/a;2007;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/arex
ARCX;Arc Logistic Partners LP;sep.77;188126147.07;n/a;2013;Energy;Oil Refining/Marketing;http://www.nasdaq.com/symbol/arcx
AT;Atlantic Power Corporation;feb.39;291361271.98;n/a;n/a;Energy;Electric Utilities: Central;http://www.nasdaq.com/symbol/at
ARP;Atlas Resource Partners, L.P.;0.75;76815822.75;n/a;2005;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/arp
ATW;Atwood Oceanics, Inc.;avg.27;535640696.83;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/atw
BHI;Baker Hughes Incorporated;41.74;18276021744.26;n/a;n/a;Energy;Metal Fabrications;http://www.nasdaq.com/symbol/bhi
BLDP;Ballard Power Systems, Inc.;jan.34;210161830.58;n/a;n/a;Energy;Industrial Machinery/Components;http://www.nasdaq.com/symbol/bldp
BRN;Barnwell Industries, Inc.;1.jun;13243456;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/brn
BAS;Basic Energy Services, Inc.;2.apr;101268972;n/a;2005;Energy;Oilfield Services/Equipment;http://www.nasdaq.com/symbol/bas
BTE;Baytex Energy Corp;4.mar;905962080.8;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/bte
BXE;Bellatrix Exploration Ltd;1;191963910;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/bxe
BBL;BHP Billiton plc;22.35;59464251203.25;n/a;n/a;Energy;Coal Mining;http://www.nasdaq.com/symbol/bbl
BBG;Bill Barrett Corporation;jun.67;332530828.99;n/a;2004;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/bbg
BSM;Black Stone Minerals, L.P.;14.72;2825772286.72;n/a;2015;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/bsm
BKEP;Blueknight Energy Partners L.P., L.L.C.;apr.78;158688060.42;n/a;2011;Energy;Natural Gas Distribution;http://www.nasdaq.com/symbol/bkep
BKEPP;Blueknight Energy Partners L.P., L.L.C.;jun.89;207792884.91;n/a;n/a;Energy;Natural Gas Distribution;http://www.nasdaq.com/symbol/bkepp
