Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;Industry;Summary Quote
TFSC;1347 Capital Corp.;sep.89;58825720;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/tfsc
TFSCR;1347 Capital Corp.;0.34;0;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/tfscr
TFSCU;1347 Capital Corp.;okt.25;42845000;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/tfscu
TFSCW;1347 Capital Corp.;0.17;0;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/tfscw
PIH;1347 Property Insurance Holdings, Inc.;maj.73;35061440.25;n/a;2014;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/pih
FCTY;1st Century Bancshares, Inc;okt.95;113188879.8;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/fcty
FCCY;1st Constitution Bancorp (NJ);dec.51;99508468.14;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/fccy
SRCE;1st Source Corporation;31.47;814452254.25;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/srce
ABIL;Ability Inc.;67.385;709.875.705.625;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/abil
ABM;ABM Industries Incorporated;31.76;1781458957.52;n/a;n/a;Finance;Diversified Commercial Services;http://www.nasdaq.com/symbol/abm
ANCX;Access National Corporation;18.87;199252594.62;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/ancx
ACNB;ACNB Corporation;22.maj;135893790;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/acnb
AEB;Aegon NV;22.99;0;n/a;n/a;Finance;Life Insurance;http://www.nasdaq.com/symbol/aeb
AED;Aegon NV;26.22;0;n/a;n/a;Finance;Life Insurance;http://www.nasdaq.com/symbol/aed
AEG;Aegon NV;maj.55;14851556027.55;n/a;n/a;Finance;Life Insurance;http://www.nasdaq.com/symbol/aeg
AEH;Aegon NV;25.49;0;n/a;n/a;Finance;Life Insurance;http://www.nasdaq.com/symbol/aeh
AEK;Aegon NV;27.26;0;n/a;n/a;Finance;Life Insurance;http://www.nasdaq.com/symbol/aek
AMG;Affiliated Managers Group, Inc.;159.14;8594586771.28;n/a;n/a;Finance;Investment Managers;http://www.nasdaq.com/symbol/amg
MGR;Affiliated Managers Group, Inc.;26.13;0;n/a;2012;Finance;Investment Managers;http://www.nasdaq.com/symbol/mgr
AFL;Aflac Incorporated;64.04;26896888247.12;n/a;n/a;Finance;Accident &Health Insurance;http://www.nasdaq.com/symbol/afl
